"","Mouse_ID","Year","delta","HI","Target","NE","MC"
"25","AA_0301","2017",-3.73666666666667,0.782608696,"IL.12",-4.0175,"neg"
"26","AA_0301","2017",-3.73666666666667,0.782608696,"CXCR3",-3.5275,"neg"
"27","AA_0301","2017",-3.73666666666667,0.782608696,"IRG6",-2.3575,"neg"
"43","AA_0323","2017",-3.605,0.826086957,"IRG6",-2.315,"neg"
"44","AA_0323","2017",-3.605,0.826086957,"CXCR3",-3.175,"neg"
"45","AA_0323","2017",-3.605,0.826086957,"IL.12",-4.095,"neg"
"94","AA_0406","2017",-0.959999999999997,0.92,"IL.12",-7.2375,"neg"
"95","AA_0406","2017",-0.959999999999997,0.92,"IRG6",-3.8425,"neg"
"96","AA_0406","2017",-0.959999999999997,0.92,"CXCR3",-6.1475,"neg"
"103","AA_0424","2017",-4.555,0.88,"CXCR3",-1.4575,"neg"
"104","AA_0424","2017",-4.555,0.88,"IL.12",-1.4825,"neg"
"105","AA_0424","2017",-4.555,0.88,"IRG6",0.087499999999995,"neg"
"109","AA_0429","2017",-2.495,1,"IL.12",-4.3,"neg"
"110","AA_0429","2017",-2.495,1,"CXCR3",-4.72,"neg"
"111","AA_0429","2017",-2.495,1,"IRG6",-2.505,"neg"
"115","AA_0432","2017",-3.68,0.043478261,"CXCR3",-3.9175,"neg"
"116","AA_0432","2017",-3.68,0.043478261,"IL.12",-5.1075,"neg"
"117","AA_0432","2017",-3.68,0.043478261,"IRG6",-3.2675,"neg"
"136","AA_0460","2017",-3.75,0.25,"IRG6",-7.575,"neg"
"137","AA_0460","2017",-3.75,0.25,"CXCR3",-3.425,"neg"
"138","AA_0460","2017",-3.75,0.25,"IL.12",NA,"neg"
