"","Mouse_ID","X","observer","Caecum","Ileum","Date","Sex","Longitude","Latitude","Year","HI_NLoci","HI","Body_weight","Body_length","Species","Spleen_mass","Status","mean_neubauer","OPG","delta_ct_cewe_MminusE","eimeriaSpecies"
"21","AA_0237",243,"Lorenzo","pos","neg","","F",13.666418,52.733898,2017,"HI 13",0,21.69,83.04,"Mus musculus","0.0303","pregnant",0,0,-4.82,"E_ferrisi"
"22","AA_0243",249,"Lorenzo","pos","neg","","M",13.8119,52.8875,2017,"HI 14",0.85,11.13,70.42,"Mus musculus","0.0164","adult",3.125,578703.703703704,-2.375,"E_ferrisi"
"23","AA_0244",250,"Lorenzo","pos","neg","","F",13.5994,52.2458,2017,"HI 12",0.083333333,10.47,69.45,"Mus musculus","0.0147","young",NA,NA,-2.6,"Double_tbd"
"24","AA_0245",251,"Lorenzo","pos","neg","","M",13.6025,52.2225,2017,"HI 14",0.1,19.13,86.99,"Mus musculus","0.0495","adult",9.125,2683823.52941176,-4.58,"Double_tbd"
"25","AA_0248",254,"Lorenzo","pos","neg","","F",13.6025,52.2225,2017,"HI 13",0,14.87,80.11,"Mus musculus","0.0331","adult",0.125,30487.8048780488,-6.685,"E_ferrisi"
"26","AA_0249",255,"Lorenzo","pos","pos","","M",13.6025,52.2225,2017,"HI 14",0,25.74,94.62,"Mus musculus","0.11","adult",13,1585365.85365854,-8.755,"E_falciformis"
"27","AA_0252",258,"Lorenzo","pos","neg","","M",13.6025,52.2225,2017,"HI 14",0.05,18.36,84.24,"Mus musculus","0.0316","adult",0,0,-8.63,"E_ferrisi"
"28","AA_0257",263,"Lorenzo","pos","neg","","M",13.6025,52.2225,2017,"HI 14",0,16.84,82.62,"Mus musculus","0.03","adult",14.625,1720588.23529412,-1.61,"E_ferrisi"
"29","AA_0259",265,"Lorenzo","pos","neg","","F",13.6025,52.2225,2017,"HI 12",0.083333333,12.85,71.94,"Mus musculus","0.05","adult",5.25,1875000,-4.55,"E_ferrisi"
"30","AA_0260",266,"Lorenzo","pos","neg","","F",13.6025,52.2225,2017,"HI 10",0,17.82,83.01,"Mus musculus","0.07","adult",1.25,367647.058823529,-7.17,"E_ferrisi"
"31","AA_0261",267,"Lorenzo","pos","neg","","M",13.5994,52.2458,2017,"HI 12",0,11.69,72,"Mus musculus","0.02","adult",0,0,-4.21,"E_falciformis"
"33","AA_0296",302,"Lorenzo","pos","neg","","M",14.0953,52.7383,2017,"HI 14",0.95,14.62,77.35,"Mus musculus","0.0288","adult",14,1538461.53846154,-3.435,"E_ferrisi"
"34","AA_0298",304,"Lorenzo","pos","neg","","F",14.0953,52.7383,2017,"HI 13",0.76,9.58,69.5,"Mus musculus","0.0235","young",21,16153846.1538462,-4.73,"E_ferrisi"
"36","AA_0303",309,"Lorenzo","pos","neg","","M",13.8675,52.2428,2017,"HI 14",0.2,18.92,83.28,"Mus musculus","0.0528","adult",1.125,2812500,-2.07,"E_ferrisi"
"39","AA_0310",318,"Lorenzo","pos","neg","","F",14.0953,52.7383,2017,"HI 13",0.8,7.75,60.4,"Mus musculus","0.01","young",0.875,1250000,-9.21,"E_falciformis"
"41","AA_0314",322,"Lorenzo","pos","neg","","M",13.8675,52.2428,2017,"HI 14",0.3,13.68,66.99,"Mus musculus","28","adult",9.25,7708333.33333333,-2.82,"E_ferrisi"
"42","AA_0316",324,"Lorenzo","pos","pos","","M",14.1161,52.7914,2017,"HI 13",0.631578947,10.59,69.08,"Mus musculus","0.02","adult",9.375,302419.35483871,-3.06,"E_ferrisi"
"43","AA_0317",325,"Lorenzo","pos","neg","","M",13.8675,52.2428,2017,"HI 14",0.25,17.55,82.54,"Mus musculus","0.03","adult",0.75,153061.224489796,-6.98,"E_ferrisi"
"44","AA_0319",327,"Lorenzo","pos","neg","","F",13.8103,51.8978,2017,"HI 13",0.08,14.2,73.41,"Mus musculus","0.02","adult",25.875,3080357.14285714,-7.82,"E_ferrisi"
"45","AA_0328",336,"Lorenzo","pos","neg","","F",13.4408,53.0497,2017,"HI 13",0.76,7.65,64.2,"Mus musculus","19","young",0,0,-7.13,"E_falciformis"
"47","AA_0345",353,"Lorenzo","pos","pos","","M",13.4408,53.0497,2017,"HI 14",0.8,9.25,64.07,"Mus musculus","0.03","young",0,0,-7.83,"E_falciformis"
"48","AA_0347",355,"Lorenzo","pos","neg","","M",13.4408,53.0497,2017,"HI 12",0.705882353,6.77,64.54,"Mus musculus","0.02","young",0.25,625000,-10.955,"E_falciformis"
"49","AA_0348",356,"Lorenzo","pos","neg","","M",13.4408,53.0497,2017,"HI 13",0.777777778,17.49,77.47,"Mus musculus","0.07",NA,0,0,-4.945,"E_ferrisi"
"50","AA_0350",358,"Lorenzo","pos","neg","","M",13.4408,53.0497,2017,"HI 14",0.75,17.18,80.78,"Mus musculus","0.05",NA,1.375,30555.5555555556,-11.77,"E_ferrisi"
"52","AA_0374",382,"Lorenzo","pos","neg","","M",14.1808,52.0747,2017,"HI 14",0.55,15.4,77.68,"Mus musculus","0.0246","adult",0,0,-6.88,"E_ferrisi"
"55","AA_0397",405,"Lorenzo","pos","neg","","M",14.1442,52.0172,2017,"HI 14",0.75,9.09,65.73,"Mus musculus","0.03","adult",12.25,61250000,-2.355,"E_falciformis"
"56","AA_0408",416,"Lorenzo","pos","neg","","F",14.1442,52.0172,2017,"HI 13",0.8,12.48,69.31,"Mus musculus","0.03","adult",7,1794871.79487179,-9.07,"E_falciformis"
"58","AA_0413",421,"Lorenzo","pos","neg","","F",14.1808,52.0747,2017,"HI 12",0.391304348,20.03,84.76,"Mus musculus","0.05","adult",0,0,-2.85,"E_ferrisi"
"59","AA_0428",436,"Lorenzo","pos","neg","","F",14.2775,52.6867,2017,"HI 12",0.826086957,11,71.29,"Mus musculus","0.0168","young",6.875,577731.092436975,-1.13,"E_ferrisi"
"60","AA_0430",438,"Lorenzo","pos","neg","","M",14.2775,52.6867,2017,"HI 13",0.947368421,10.31,69.68,"Mus musculus","0.0164","adult",98,15312500,-7.96,"E_ferrisi"
"61","AA_0431",439,"Lorenzo","pos","pos","","M",14.2769,52.6778,2017,"HI 13",0.894736842,12.98,73.32,"Mus musculus","0.0288","adult",6,882352.94117647,-4.985,"E_ferrisi"
"62","AA_0436",444,"Lorenzo","pos","neg","","F",14.2606,52.0875,2017,"HI 12",0.782608696,16.31,79.01,"Mus musculus","0.0678","adult",5.375,839843.75,-1.175,"Double_tbd"
"63","AA_0441",449,"Lorenzo","pos","neg","","F",14.2606,52.0875,2017,"HI 12",0.869565217,13.8,76.45,"Mus musculus","0.0459","adult",0,0,-5.68,"E_ferrisi"
"64","AA_0445",453,"Lorenzo","pos","neg","","F",14.2272,52.0753,2017,"HI 12",0.913043478,16.61,80.85,"Mus musculus","35","adult",66.75,11919642.8571429,-3.17,"E_falciformis"
"65","AA_0446",454,"Lorenzo","pos","neg","","M",14.2775,52.6867,2017,"HI 13",0.842105263,8.89,69.46,"Mus musculus","0.03","adult",93.375,40597826.0869565,-3.53,"E_ferrisi"
"66","AA_0452",460,"Lorenzo","pos","neg","","F",13.6506,53.2108,2017,"HI 12",0.956521739,9.69,65.32,"Mus musculus","0.03","adult",5.25,228260.869565217,-3.22,"E_ferrisi"
"67","AA_0454",462,"Lorenzo","pos","neg","","F",14.2606,52.0875,2017,"HI 12",0.826086957,8.99,67.68,"Mus musculus","0.02","young",30.875,11875000,1.33,"E_ferrisi"
"68","AA_0455",463,"Lorenzo","pos","pos","","F",14.2606,52.0875,2017,"HI 12",0.826086957,13.35,71.54,"Mus musculus","0.03","adult",9.625,1782407.40740741,-7.88,"E_ferrisi"
"69","AA_0458",466,"Lorenzo","pos","neg","","F",14.2697,52.0439,2017,"HI 12",0.826086957,15.58,75.52,"Mus musculus","0.03","adult",0.125,21551.724137931,0.350000000000001,"E_ferrisi"
"70","AA_0465",473,"Lorenzo","pos",NA,"","M",13.3047,52.9936,2017,"HI 6",0.083333333,16.78,80.95,"Mus musculus","0.0376","adult",0.875,230263.157894737,-2.84,"E_ferrisi"
"72","AA_0469",477,"Lorenzo","pos","pos","","F",13.925,51.9447,2017,"HI 12",0.695652174,12.73,82,"Mus musculus","21","adult",64.875,14744318.1818182,-5,"E_ferrisi"
"73","AA_0497",505,"Lorenzo","pos","pos","","M",11.6069,53.94049,2017,"HI 13",0.947368421052632,13.985,80,"Mus musculus","0.05","adult",29.625,4557692.30769231,-0.18,"Double_tbd"
"76","AA_0522",530,"Lorenzo","pos","neg","","F",13.679507,51.676761,2017,"HI 11",0.227272727272727,15.129,81,"Mus musculus","26","adult",NA,NA,-10.68,"E_ferrisi"
"77","AA_0523",531,"Lorenzo","pos","pos","","M",13.679507,51.676761,2017,"HI 13",0.421052631578947,12.405,72,"Mus musculus","12","adult",NA,NA,-6.8,"E_falciformis"
