Well,Sample Name,Detector,Ct,StdDev Ct,MC
A1,804,Eimeria,25.37,0.912,TRUE
A2,804,Eimeria,24.68,0.912,TRUE
A3,804,Eimeria,23.56,0.912,TRUE
A4,804,Mus,21.56,9.887,TRUE
A5,804,Mus,20.95,9.887,TRUE
A7,715,Eimeria,34,0.474,FALSE
A8,715,Eimeria,34.61,0.474,FALSE
A9,715,Eimeria,33.68,0.474,FALSE
A10,715,Mus,26.22,2.679,TRUE
A11,715,Mus,23.94,2.679,TRUE
A12,715,Mus,20.88,2.679,TRUE
B1,814,Eimeria,35.65,3.714,FALSE
B2,814,Eimeria,28.46,3.714,FALSE
B3,814,Eimeria,30.43,3.714,FALSE
B4,814,Mus,24.15,1.656,TRUE
B5,814,Mus,22.48,1.656,TRUE
B6,814,Mus,20.83,1.656,TRUE
B7,762,Eimeria,35.91,5.695,FALSE
B9,762,Eimeria,35.68,5.695,FALSE
B10,762,Mus,27.42,2.465,TRUE
B11,762,Mus,25.64,2.465,TRUE
B12,762,Mus,22.55,2.465,TRUE
C1,767,Eimeria,33.35,0.297,FALSE
C2,767,Eimeria,33.69,0.297,FALSE
C3,767,Eimeria,33.09,0.297,FALSE
C4,767,Mus,22.83,1.038,TRUE
C5,767,Mus,22.83,1.038,TRUE
C6,767,Mus,21.03,1.038,TRUE
C7,775,Eimeria,29.61,2.791,FALSE
C8,775,Eimeria,34.93,2.791,FALSE
C9,775,Eimeria,30.81,2.791,FALSE
C10,775,Mus,28.87,2.87,TRUE
C11,775,Mus,26.72,2.87,TRUE
C12,775,Mus,23.19,2.87,TRUE
D1,778,Eimeria,32.8,1.422,FALSE
D2,778,Eimeria,30.24,1.422,FALSE
D3,778,Eimeria,32.59,1.422,FALSE
D4,778,Mus,23.48,10.809,TRUE
D5,778,Mus,22.07,10.809,TRUE
D7,809,Eimeria,35.5,1.062,FALSE
D8,809,Eimeria,34.7,1.062,FALSE
D9,809,Eimeria,33.4,1.062,FALSE
D10,809,Mus,26.19,2.704,TRUE
D11,809,Mus,23.79,2.704,TRUE
D12,809,Mus,20.8,2.704,TRUE
E1,801,Eimeria,33.05,1.176,FALSE
E2,801,Eimeria,30.79,1.176,FALSE
E3,801,Eimeria,31.36,1.176,FALSE
E4,801,Mus,24.08,10.539,TRUE
E5,801,Mus,21.79,10.539,TRUE
E7,825,Eimeria,34.14,0.138,FALSE
E8,825,Eimeria,33.92,0.138,FALSE
E9,825,Eimeria,34.17,0.138,FALSE
E10,825,Mus,24.27,2.704,TRUE
E11,825,Mus,21.46,2.704,TRUE
F1,783,Eimeria,29.35,1.297,FALSE
F2,783,Eimeria,31.94,1.297,FALSE
F3,783,Eimeria,30.51,1.297,FALSE
F4,783,Mus,25.42,0.924,TRUE
F5,783,Mus,27.06,0.924,TRUE
F6,783,Mus,26.98,0.924,TRUE
F7,842,Eimeria,35.92,1.271,FALSE
F8,842,Eimeria,33.4,1.271,FALSE
F9,842,Eimeria,34.4,1.271,FALSE
F10,842,Mus,23.89,2.24,TRUE
F11,842,Mus,22.38,2.24,TRUE
G1,749,Eimeria,33.07,0.739,FALSE
G2,749,Eimeria,32.03,0.739,FALSE
G3,749,Eimeria,33.45,0.739,FALSE
G4,749,Mus,22.3,4.542,TRUE
G5,749,Mus,20.35,4.542,TRUE
H1,711,Eimeria,28.57,2.96,FALSE
H2,711,Eimeria,32,2.96,FALSE
H3,711,Eimeria,34.46,2.96,FALSE
H4,711,Mus,26.13,2.105,TRUE
H5,711,Mus,24.27,2.105,TRUE
H6,711,Mus,21.93,2.105,TRUE
H7,NTC,Eimeria,34.9,0.586,TRUE
H8,NTC,Eimeria,35.73,0.586,TRUE
H9,NTC,Eimeria,Undetermined,,TRUE
H10,NTC,Mus,36,,FALSE
H11,NTC,Mus,Undetermined,,FALSE
H12,NTC,Mus,Undetermined,,FALSE
