"","Mouse_ID","CXCR3","IRG6","IL-12b","GBP2","IL-6"
"1","AA_0524",-4.30833333333333,-1.36833333333333,-3.915,-6.20166666666667,-3.86833333333333
"2","AA_0525",-5.49333333333334,-2.24333333333334,-3.48666666666667,-6.97,-6.03333333333333
"3","AA_0526",-5.12166666666667,-2.54166666666666,-4.04833333333333,-7.365,-5.01166666666667
"4","AA_0527",-4.14166666666667,-1.62833333333333,-3.72833333333333,-3.665,-4.46833333333333
"5","AA_0528",-4.03666666666667,-2.58333333333334,-3.9,-4.45,NA
"6","AA_0529",-4.24,-2.06,-3.96666666666667,-4.25333333333333,-4.48666666666666
"7","AA_0530",-8.66333333333333,-3.33,-7.94333333333334,-4.21333333333333,-6.6
"8","AA_0531",-4.00166666666667,-2.18833333333333,-2.345,-6.10166666666667,-4.81833333333333
"9","AA_0532",-5.65166666666667,-2.55166666666667,-3.84166666666667,-5.48166666666667,-5.135
"10","AA_0533",-4.65333333333333,-2.02333333333333,-4.97333333333333,-8.57333333333333,-5.33666666666667
"11","AA_0534",-5.53333333333333,-2.41,-4.87,-9.38666666666667,-4.66666666666667
"12","AA_0535",-5.275,-1.92833333333333,-4.65166666666666,-7.59166666666667,-5.40833333333333
"13","AA_0536",-4.38166666666667,-1.26166666666667,-3.53833333333333,-7.235,-4.24166666666667
"14","AA_0537",-4.775,-1.945,-3.76166666666667,-6.14166666666667,-4.34833333333334
"15","AA_0538",-3.855,-2.315,-4.41833333333333,-6.845,-4.545
"16","AA_0539",-4.80833333333334,-2.28166666666667,-4.63166666666667,-7.93833333333334,-5.00166666666667
"17","AA_0540",-4.33666666666667,-2.80666666666667,-4.59666666666667,-4.72333333333334,-5.34666666666667
"18","AA_0542",NA,-5.28666666666667,NA,-4.04333333333333,-8
"19","AA_0543",-3.75166666666667,-2.625,-3.74166666666667,-8.105,-4.755
"20","AA_0544",-4.73166666666667,-1.895,-1.06166666666666,-4.45833333333333,-4.84833333333333
"21","AA_0546",-4.51333333333334,-1.87333333333333,-4.09,-4.04333333333334,-4.47666666666667
"22","AA_0547",-5.94,-4.57,-6.62666666666667,-8.50666666666666,-7.08
"23","AA_0548",-4.09,-1.65333333333333,-4.6,-8.20666666666667,-4.93
"24","AA_0549",-4.14166666666667,-2.34833333333333,-3.87833333333333,-4.96833333333333,-7.35166666666667
"25","AA_0550",-4.90166666666667,-2.28833333333333,-4.16833333333333,-7.04166666666667,-5.00166666666667
"26","AA_0551",-4.58333333333334,-1.98666666666667,-5.68666666666667,-4.89333333333333,-4.51666666666667
"27","AA_0552",-4.07333333333333,-1.75333333333333,-4.88333333333333,-7.47666666666667,-4.70666666666667
"28","AA_0553",-4.44333333333334,-1.08,-4.90666666666667,-4.67333333333334,-4.37333333333333
"29","AA_0554",-6.19,-4.58,-9.48,-5.08,-2.66333333333333
"30","AA_0555",-8.35666666666667,-7.34666666666667,NA,-5.85,-5.75333333333333
"31","AA_0556",-10.08,-6.26666666666667,-10.6933333333333,-7.31333333333333,-7.81333333333334
"32","AA_0559",-5.6,-4.13333333333333,-8.46333333333333,-4.53666666666667,-4.80333333333333
"33","AA_0561",NA,NA,NA,-6.25666666666667,-6.73666666666666
"34","AA_0569",-9.445,-6.615,-11.9616666666667,-7.735,-9.22833333333333
"35","AA_0572",-8.875,-9.29500000000001,-13.4083333333333,-7.945,-8.62166666666667
"36","AA_0579",NA,NA,NA,NA,NA
"37","AA_0591",NA,NA,NA,-2.13666666666667,NA
"38","AA_0620",-8.64,-7.85,-13.6733333333333,-8.56666666666667,-7.49333333333333
"39","AA_0623",-11.1633333333333,-7.56,-13,-9.33666666666667,-10.5666666666667
"40","AA_0631",NA,-8.755,NA,-7.94166666666666,-12.735
"41","AA_0635",-9.98333333333333,-6.71,-11.8166666666667,-7.26666666666667,-8.89666666666667
"42","AA_0636",-11.385,-7.70166666666667,-12.4283333333333,-8.125,-9.23166666666667
"43","AA_0643",-1.87,-4.83,-9.75333333333334,-5.83666666666667,-4.79666666666667
"44","AA_0646",-7.90166666666667,-5.325,-10.6516666666667,-6.325,-9.775
"45","AA_0650",-8.45333333333333,-4.02,-8.01333333333334,-4.80666666666666,-5.76333333333333
"46","AA_0661",-8.22833333333333,-6.53833333333333,-9.695,-6.83833333333333,-7.62166666666666
"47","AA_0662",-10.7433333333333,-6.68666666666666,-11.5266666666667,-7.36333333333333,-10.72
"48","AA_0666",-6.01666666666667,-4.57,-8.97,-6.21666666666667,-5.98666666666666
